The Man Without Qualities | Robert Musil
Dead Souls | Nikolai Vasilievich Gogol
The Pillow Book | Sei Shōnagon
A General Theory of Oblivion | José Eduardo Agualusa
The Trial | Franz Kafka
The Book of Disquiet | Fernando Pessoa
Madame Bovary | Gustave Flaubert
The Savage Detectives | Roberto Bolaño
The Muqaddimah | Ibn Khaldun
Dead Souls | Nikolai Gogol
Life and Fate | Vasily Grossman
The Tale of Genji | Murasaki Shikibu
Waiting for Godot | Samuel Beckett
The Tale of Kieu | Nguyễn Du
The Radetzky March | Joseph Roth
Woman at Point Zero | Nawal El Saadawi
The Palm-Wine Drinkard | Amos Tutuola
The Open Veins of Latin America | Eduardo Galeano
The Trial of Dedan Kimathi | Ngũgĩ wa Thiong’o
The Cairo Trilogy | Naguib Mahfouz
The Book of Chameleons | José Eduardo Agualusa
The Tanners | Abdelrahman Munif
Anna Karenina | Leo Tolstoy
Hopscotch | Julio Cortázar
The Forty Rules of Love | Elif Shafak
The Republic | Plato
Macbeth | William Shakespeare
The Odyssey | Homer
Crime and Punishment | Fyodor Dostoevsky
The Plague | Albert Camus
Independent People | Halldór Laxness
The Shahnameh | Ferdowsi
The Divine Comedy | Dante Alighieri
The Invention of Morel | Adolfo Bioy Casares
Moby-Dick; or, The Whale | Herman Melville
Hamlet | William Shakespeare
The Silent Cry | Kenzaburō Ōe
The Aleph | Jorge Luis Borges
Their Eyes Were Watching God | Zora Neale Hurston
Cities of Salt | Abdulrahman Munif
Journey to the West | Wu Cheng'en
The Tunnel | Ernesto Sabato
The Waste Land | T. S. Eliot
The Story of the Stone | Cao Xueqin
The Leopard | Giuseppe Tomasi di Lampedusa
Dream of the Red Chamber | Cao Xueqin
Auto-da-Fé | Elias Canetti
Memory for Forgetfulness | Mahmoud Darwish
The Woman in the Dunes | Kōbō Abe
The Three-Arched Bridge | Ismail Kadare
